,Name,city,started_in,number_of_funding_rounds,funding_amount,industries,Founders,Number of employees,Number of investors
0,Urban Company, Gurgaon,2014,12,445920356," Apps, Home Services, Marketplace, Service Industry"," Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan", 1001-5000,16
1,Classplus, Noida,2018,10,89506451," B2B, E-Learning, EdTech, Education, Mobile Apps, SaaS, Software"," Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Nikhil Goel, Vatsal Rustagi", 101-250,20
2,Paytm, Noida,2010,4,32448851," E-Commerce, Finance, Financial Services, Internet, Mobile Apps, Mobile Payments"," Akshay Khanna, Vijay Shekhar Sharma", 501-1000,4
3,Apna, Mumbai,2019,4,93450000," Employment, Human Resources, Recruiting, Staffing Agency", Nirmit Parikh, 101-250,6
4,Razorpay, Bengaluru,2014,7,366600000," Financial Services, FinTech, Payments, Software"," Harshil Mathur, Shashank Kumar", 1001-5000,29
5,UpGrad, Mumbai,2015,4,176283446," E-Learning, EdTech, Education"," Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala", 1001-5000,4
6,Delhivery, Gurgaon,2011,11,1236569361," E-Commerce, Freight Service, Last Mile Transportation, Logistics, Shipping, Supply Chain Management, Transportation, Warehousing"," Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan", 5001-10000,13
7,1mg, Gurgaon,2015,16,204600209," Delivery, E-Commerce, Health Care, Internet, Medical, Pharmaceutical"," Anurag Mundhada, Gaurav Agarwal, Prashant Tandon, Sameer Maheshwari, Vikas Chauhan", 11-50,17
8,BigBasket, Bengaluru,2011,17,1119863468," Delivery, Delivery Service, E-Commerce, Grocery, Internet, Retail, Shopping"," Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Ramesh, VS Sudhakar", 5001-10000,17
9,GoMechanic, Gurgaon,2016,8,59849371," Automotive, Customer Service, E-Commerce, Sales"," Amit Bhasin, Kushal Karwa, Nitin Rana, Puneet Gulati, Rishabh Karwa", 251-500,9
10,Unacademy, Bengaluru,2015,11,398500000," E-Learning, EdTech, Education, Training"," Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta", 251-500,36
11,Ola, Kormangala,2010,25,3808672049," Apps, Internet, Mobile, Ride Sharing, Transportation"," Ankit Bhati, Bhavish Aggarwal", 5001-10000,45
12,Licious, Bengaluru,2015,7,158589644," Delivery Service, E-Commerce, Food and Beverage, Food Delivery"," Abhay Hanjura, Vivek Gupta", 1001-5000,20
13,CRED, Bengaluru,2018,6,471205550," Credit Cards, Financial Services, FinTech, Payments, Personal Finance", Kunal Shah, 251-500,28
14,CityMall, Gurgaon,2019,5,37100000," Consumer Goods, E-Commerce, Lifestyle"," Angad Kikla, Divij Goyal, Naisheel Verdhan", 101-250,14
15,Pine Labs, Noida,1998,8,423238799," Financial Services, FinTech, Information Technology, Payments"," Rajul Garg, Tarun Upaday", 1001-5000,15
16,Dodla Dairy, Hyderabad,1995,3,71276176," Consumer Goods, Food and Beverage, Food Processing, Manufacturing", D. Sunil Reddy, 501-1000,13
17,Groww, Bengaluru,2017,6,142262674," Financial Services, FinTech, Funding Platform, Impact Investing"," Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh", 251-500,16
18,Grofers, Gurgaon,2013,13,662398135," Delivery, E-Commerce, E-Commerce Platforms, Grocery, Retail"," Albinder Dhindsa, Saurabh Kumar", 1001-5000,13
19,Jumbotail, Bengaluru,2015,8,55345400," E-Commerce, Food and Beverage, Grocery, Marketplace, Retail"," Ashish Jhina, Karthik Venkateswaran", 101-250,20
20,slice, Bengaluru,2016,8,53665909," Banking, Financial Services, FinTech, Lending, Payments"," Deepak Malhotra, Rajan Bajaj", 251-500,20
21,InMobi, Bengaluru,2007,7,320600000," Advertising, Advertising Platforms, Digital Media, Marketing, Mobile"," Abhay Singhal, Amit Gupta, Mohit Saxena, Naveen Tewari, Piyush Shah", 501-1000,6
22,Dunzo, Bengaluru,2015,15,128399438," Delivery, Delivery Service, E-Commerce, Mobile, Mobile Apps"," Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha", 1001-5000,24
23,BYJUâS, Bengaluru,2011,18,2745964432," E-Learning, EdTech, Education, Higher Education, Software"," Byju Raveendran, Divya Gokulnath", 10001+,38
24,Cashfree, Bengaluru,2015,4,40920000," Finance, Financial Services, FinTech, Mobile Payments, Payments"," Akash Sinha, Reeju Datta", 251-500,6
25,MediBuddy, Bengaluru,2000,5,67132379," Health Care, Health Insurance, Medical, mHealth", Satish Kannan, 1001-5000,12
26,Progcap, New Delhi,2017,4,32324325," Enterprise, Finance, Financial Services, FinTech, Supply Chain Management", Pallavi Shrivastava, 11-50,9
27,Capital Float, Bengaluru,2013,11,150417120," B2B, Financial Services, FinTech, Small and Medium Businesses"," Gaurav Hinduja, Sashank Rishyasringa", 51-100,12
28,CARS24, Gurgaon,2015,5,393848044," Artificial Intelligence, Automotive, B2C, E-Commerce, Marketplace, Sales Automation, Software, Transaction Processing"," Gajendra Jangid, Mehul Agrawal, Ruchit Agarwal, Vikram Chopra", 1001-5000,21
29,Bharat Biotech, Hyderabad,1996,3,14100000, Biotechnology," Krishna Ella, Suchitra Ella", 501-1000,3
30,Skillmatics, Mumbai,2016,2,7419353," Children, Education"," Devanshi Kejriwal, Dhvanil Sheth", 11-50,2
31,Rapido, Bengaluru,2015,9,121996807," Information Services, Mobile Apps, Public Transportation, Taxi Service, Transportation"," Aravind Sanka, Pavan Guntupalli, Rishikesh SR", 1001-5000,32
32,Reliance Jio, Mumbai,2010,16,24767620475," Apps, Information Services, Internet, Telecommunications", Mukesh Ambani, 10001+,35
33,YourStory, Bengaluru,2008,3,8469522," Information Technology, Internet, News, Public Relations, Publishing", Shradha Sharma, 101-250,6
34,Kodo, Mumbai,2019,2,8736466," B2B, Financial Services, FinTech, Small and Medium Businesses"," Deepti Sanghi, Gaurav Thapa", 11-50,5
35,Practo, Bengaluru,2008,7,228246376," Health Care, Health Diagnostics, Medical, mHealth, Mobile Apps, Pharmaceutical, Wellness"," Abhinav Lal, Shashank ND", 5001-10000,14
36,NiYO Solutions, Bengaluru,2015,3,49200000," Finance, Financial Services, FinTech", Virender Bisht, 11-50,5
37,Reliance Retail, Mumbai,2006,6,6419310306," Consumer Goods, Grocery, Retail", Mukesh Ambani, 10001+,8
38,Locus.sh, Bengaluru,2015,6,78750000," Big Data, Data Visualization, Logistics, Software"," Geet Garg, Nishith Rastogi", 251-500,25
39,KreditBee, Bengaluru,2018,3,11117000000," Financial Services, FinTech, Internet, Lending"," Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong", 1001-5000,7
40,boAt, New Delhi,2016,6,116258656," Consumer Electronics, Fashion, Lifestyle, Wearables"," Aman Gupta, Sameer Mehta", 101-250,5
41,Flipkart, Bengaluru,2007,24,9009184737," E-Commerce, Internet, Retail, Shopping"," Binny Bansal, Sachin Bansal", 10001+,24
42,MobiKwik, Gurgaon,2009,15,165518505," Consumer Lending, Financial Services, FinTech, Lending, Mobile Payments, Payments, Wealth Management"," Bipin Singh, Chandan Joshi, Upasana Taku", 251-500,26
43,Cuemath, Bengaluru,2013,5,64495265," E-Learning, EdTech, Education, STEM Education", Manan Khurma, 1001-5000,8
44,Jai Kisan, Mumbai,2017,5,35400000," Agriculture, AgTech, Financial Services, FinTech"," Adriel Maniego, Arjun Ahluwalia", 11-50,18
45,nfra.Market, Thane,2016,7,161545747," Construction, E-Commerce, Marketplace, Procurement"," Aaditya Sharda, Souvik Sengupta", 51-100,8
46,Xpressbees, Pune,2015,8,277583000," Delivery Service, E-Commerce, Internet, Logistics, Supply Chain Management"," Amitava Saha, Supam Maheshwari", 10001+,11
47,Northern Arc, Chennai,2008,11,383626249," Enterprise, Finance, Financial Services", Kshama Fernandes, 51-100,12
48,Toppr, Mumbai,2013,11,112087670," E-Learning, EdTech, Education"," Hemanth Goteti, Zishaan Hayath", 1001-5000,14
49,MyGlamm, Mumbai,2015,8,56035717," Beauty, Marketplace, Mobile Apps"," Darpan Sanghvi, Priyanka Gill", 101-250,14
50,ZoomCar, Bengaluru,2012,20,274145634," Automotive, E-Commerce, Rental, Reservations, Transportation"," David Back, Greg Moran", 501-1000,36
51,Snapdeal, Gurgaon,2010,13,1776260825," Consumer Electronics, E-Commerce, Internet, Marketplace, Retail, Shopping"," Kunal Bahl, Rohit Bansal", 1001-5000,26
52,WhiteHat Education Technology, Andheri,2018,2,11294388, Education, Karan Bajaj, 101-250,3
53,CarDekho, Gurgaon,2007,7,247500000," Automotive, E-Commerce, Information Services, Information Technology, Software"," Amit Jain, Anurag Jain", 501-1000,14
54,Koo App, Bengaluru,2020,3,33997488," Apps, Internet, Social Media, Software"," Aprameya Radhakrishna, Mayank Bidawatka", 11-50,10
55,Porter, Bengaluru,2014,6,32070087," E-Commerce, Internet, Logistics, Supply Chain Management"," Pranav Goel, Uttam Digga, Vikas Choudhary", 1001-5000,6
56,Skyroot Aerospace, Hyderabad,2018,3,14938971," Aerospace, Transportation"," Naga Bharath Daka, Pawan Kumar Chandana", 11-50,9
57,Holisol logistics, New Delhi,2009,5,27307486," Business Development, Logistics, Supply Chain Management"," Manish Ahuja, Naveen Rawat, Rahul Dogar", 51-100,4
58,Exotel, Bengaluru,2011,4,12294124," Cloud Data Services, Messaging, Mobile Apps", Shivakumar Ganesan, 101-250,8
59,CarTrade, Mumbai,2009,8,307351129," Auctions, Automotive, E-Commerce, Marketplace", Vinay Sanghi, 1001-5000,9
60,OPEN, Bengaluru,2017,5,37400000," Banking, Billing, Finance, Financial Services, FinTech, Payments"," Ajeesh Achuthan, Anish Achuthan, Deena Jacon, Mabel Chacko", 251-500,13
61,nCred, Mumbai,2016,8,254425980," Banking, Consumer Lending, Finance, Financial Services, FinTech, Lending", Bhupinder Singh, 1001-5000,17
62,Pepperfry, Mumbai,2011,9,245341627," E-Commerce, Furniture, Marketplace, Retail"," Ambareesh Murty, Ashish Shah", 501-1000,8
63,Shadowfax, Bengaluru,2015,6,119680000," Delivery Service, E-Commerce, Internet, Logistics, Supply Chain Management"," Abhishek Bansal, Vaibhav Khandelwal", 501-1000,13
64,The Man Company, Gurgaon,2015,6,14128602," Beauty, Consumer Goods"," Bhisham Bhateja, Hitesh Dhingra, Parvesh Kumar", 101-250,5
65,Agnikul, Chennai,2017,4,14543144," Aerospace, Manufacturing, Nanotechnology"," Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran", 51-100,17
66,Shop101, Mumbai,2015,3,19879176," Apps, Consumer Goods, E-Commerce, Internet, Online Portals"," Abhinav Jain, Aditya Gupta, Kalpak Chhajed", 101-250,6
67,Plum, Bengaluru,2019,5,20645163," Employee Benefits, Health Care, Health Insurance, Human Resources, Insurance"," Abhishek Poddar, Saurabh Arora", 11-50,23
68,Pee Safe, Gurgaon,2013,6,9653620," Consumer Goods, Fast-Moving Consumer Goods, Fitness, Health Care, Wellness"," Dheeraj Jain, Srijana Bagaria, Vikas Bagaria", 101-250,16
69,cure.fit, Bengaluru,2016,10,479575960," Apps, Fitness, Health Care, Wellness"," Ankit Nagori, Mukesh Bansal", 101-250,33
70,Nykaa, Mumbai,2012,13,341858615," Beauty, E-Commerce, Fashion, Lifestyle, Online Portals, Wellness", Falguni Nayar, 1001-5000,15
71,NoBroker, Bengaluru,2014,10,214452563," Commercial Real Estate, Mobile Apps, Property Management, Real Estate, Software"," Akhil Gupta, Amit Agarwal", 51-100,13
72,PharmEasy, Mumbai,2015,9,671538857," Health Care, Health Diagnostics, Pharmaceutical, Wellness"," Dharmil Sheth, Dhaval Shah, Mikhil Innani", 501-1000,26
73,OfBusiness, Gurgaon,2015,7,193125171," Financial Services, FinTech, Lending"," Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar", 501-1000,13
74,LEAD School, Mumbai,2012,4,65966878," E-Learning, EdTech, Education, Secondary Education"," Smita Deorah, Sumeet Mehta", 501-1000,3
75,Upstox, Mumbai,2010,2,29000000," Financial Services, FinTech, Trading Platform"," Raghu Kumar, Shrinivas Viswanath", 101-250,3
76,Teachmint, Bengaluru,2020,3,20000000," E-Learning, EdTech, Education"," Anshuman Kumar, Divyansh Bordia, Mihir Gupta, Payoj Jain", 51-100,5
77,ZestMoney, Bengaluru,2015,9,68373925," Big Data, Consumer Lending, Financial Services, FinTech"," Ashish Anantharaman, Lizzie Chapman, Priya Sharma", 101-250,15
78,Convosight, Delhi,2019,2,13000000," SaaS, Social Media, Social Media Management"," Kartik Bansal, Tamanna Dhamija, Tarun Dhamija", 51-100,5
79,Livspace, Bengaluru,2014,8,101691508," E-Commerce, Furniture, Interior Design"," Anuj Srivastava, Ramakant Sharma, Shagufta Anurag", 1001-5000,17
80,Rebel Foods, Pune,2011,20,342349901," E-Commerce, Food Delivery, Food Processing"," Jaydeep Barman, Kallol Banerjee", 5001-10000,19
81,Spinny, Gurgaon,2015,5,126900000," E-Commerce, E-Commerce Platforms, Internet, Retail"," Mohit Gupta, Niraj Singh, Ramanshu Mahaur", 251-500,13
82,Synapsica, New Delhi,2018,4,4200835," Artificial Intelligence, Health Care, Health Diagnostics, Information Technology, Machine Learning, Medical, Natural Language Processing, Predictive Analytics, Software"," Cherian Dr, Gandharv Goyal, Kuldeep Singh Chauhan, Meenakshi Singh", 11-50,5
83,DeHaat, Patna City,2012,5,49286284," Agriculture, AgTech, E-Commerce, Farming, Internet, Marketplace"," Amrendra Singh, Shashank Kumar", 251-500,8
84,Masai School, Bengaluru,2019,3,7483079," E-Learning, Education, Training", Prateek Shukla, 1-10,4
85,Wysa, Bengaluru,2015,4,9357626," Artificial Intelligence, Fitness, Health Care, Medical Device, mHealth"," Jo Aggarwal, Ramakant Vempati", 11-50,9
86,Magicpin, Gurgaon,2015,7,41884162," E-Commerce, E-Commerce Platforms, Internet, Retail"," Anshoo Sharma, Brij Bhushan", 501-1000,12
87,Ather Energy, Bengaluru,2013,5,102210000," Automotive, Electric Vehicle, Manufacturing"," Arun Vinayak, Swapnil Jain, Tarun Mehta", 501-1000,5
88,Trell, Bengaluru,2016,7,16950000," Lifestyle, Social Network, Social Shopping, Video"," Arun Lodhi, Bimal Kartheek Rebba, Prashant Sachan, Pulkit Agrawal", 101-250,31
89,Convin, Bengaluru,2019,1,25000000," Analytics, Artificial Intelligence, Sales, Software"," Ashish Santhalia, Atul Shree, Bharat Patidar, Durgesh Choudhary", 11-50,7
90,Yellow Messenger, Bengaluru,2016,3,24000000," Artificial Intelligence, Customer Service, Enterprise Software, Messaging, Software"," Anik Das, Jaya Kishore Reddy Gollareddy, Raghu Kumar, Rashid Khan", 251-500,3
91,Mamaearth, Gurgaon,2016,5,23313960," E-Commerce, Health Care, Retail, Wellness", Varun Alagh, 11-50,8
92,Milkbasket, Haryana,2014,11,38519469," Delivery Service, E-Commerce, Food and Beverage, Internet"," Anant Goel, Anurag Jain, Ashish Goel, Yatish Talavdia", 11-50,18
93,Bimaplan, Bengaluru,2020,2,3000000," Financial Services, Insurance"," Ashish Goel, Rajiv Srivatsa", 1-10,27
94,Urban Ladder, Bengaluru,2012,9,114896667," E-Commerce, E-Commerce Platforms, Furniture, Home Decor, Internet",Bimaplan, 501-1000,10
95,PagarBook, Bengaluru,2019,2,17000000," Apps, Enterprise Software, Human Resources, Mobile Apps, SaaS, Software"," Adarsh Kumar, Arya Gautam, Rupesh Mishra", 101-250,4
96,Paytm Payments Bank, New Delhi,2017,2,28188461," Banking, FinTech, Mobile Payments", Vijay Shekhar Sharma, 1001-5000,2
97,OkCredit, Faridabad,2017,3,84200000," Finance, Financial Exchanges, Financial Services, FinTech, Personal Finance"," Aditya Prasad, Gaurav Kumar, Harsh Pokharna", 101-250,6
98,Purplle, Mumbai,2011,10,93649358," Beauty, Cosmetics, E-Commerce, Mobile Apps, Retail, Shopping"," Manish Taneja, Rahul Dash", 101-250,15
99,MyMoneyMantra, New Delhi,1989,1,15000000," Consumer Lending, Finance, Financial Services, FinTech, Insurance, Lending, Marketplace, Personal Finance", Raj Khosla, 1001-5000,2
100,Blackbuck, Bengaluru,2015,8,296995198," Information Services, Internet, Logistics, Supply Chain Management, Transportation"," Chanakya Hridaya, Rajesh Yabaji, Ramasubramaniam B", 1001-5000,13
101,Wakefit, Bengaluru,2016,2,2500000000," E-Commerce, Furniture, Manufacturing, Retail"," Ankit Garg, Chaitanya Ramalingegowda", 251-500,3
102,Freshtohome, Bengaluru,2015,9,152000000," E-Commerce, E-Commerce Platforms, Food and Beverage, Food Delivery, Online Portals", Shan Kadavil, 51-100,23
103,Housing.com, Gurgaon,2012,8,147830000," Internet, Online Portals, Real Estate"," Abhimanyu Dhamija, Abhishek Anand, Advitiya Sharma, Amrit Raj, Neeraj Bhunwal, Rahul Yadav, Ravish Naresh, Rishabh Agrawal, Sanat Ghosh, Saurabh Goyal, Snehil Buxy, Vaibhav Tolia", 1001-5000,16
104,Doubtnut, Gurgaon,2016,5,49939813," E-Learning, EdTech, Education, Image Recognition, STEM Education"," Aditya Shankar, Tanushree Nagori", 11-50,10
105,smallcase, Bengaluru,2015,3,22000000, Financial Services," Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath", 101-250,11
106,Instamojo, Bengaluru,2012,7,8444527," Business Development, E-Commerce, Financial Services, Payments"," Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain", 101-250,14
107,Zomato, Gurgaon,2008,21,2100568357," Food Delivery, Mobile Apps, Reservations, Restaurants"," Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah", 10001+,25
108,SUGAR Cosmetics, Mumbai,2012,3,35500000," Beauty, Brand Marketing, Cosmetics, Internet, Online Portals, Retail"," Kaushik Mukherjee, Vineeta Singh", 1001-5000,6
109,WinZO, New Delhi,2018,5,45500000," Digital Entertainment, eSports, Gaming, Media and Entertainment, Online Games"," Chanchal Kurele, Paavan Nanda, Saumya Singh Rathore", 51-100,12
